id;non_conformance_type;status;nonconformance_details_id;rejection_reason_details;action_to_be_taken_details;short_term_details;long_term_details;jhi_current_date;rejection_date;under_warranty;quantity;labour_rate
1;CUSTOMER_COMPLAINT;PENDING;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;2020-01-12T01:07:33;2020-01-12T03:12:41;false;43195;2306
2;LATE_DELIVERY;COMPLETE;45606;bluetooth;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;2020-01-11T17:11:34;2020-01-11T16:37:50;true;80839;38541
3;NON_CONFORMING_PRODUCT_SERVICE;INCOMPLETE;3438;Regional;Tuna;hardware Costa Rica Mayotte;Industrial;2020-01-11T19:35:27;2020-01-11T21:12:09;false;93949;39515
4;LATE_DELIVERY;INCOMPLETE;32533;scale interactive generating;Specialist Home Loan Account;Plastic;Car Industrial deliverables;2020-01-12T06:19:42;2020-01-12T11:02:11;false;553;1407
5;LATE_DELIVERY;NEED_HELP;11586;IB Investment Account archive;envisioneer;moratorium pixel withdrawal;Mississippi embrace Developer;2020-01-11T19:25:54;2020-01-11T21:32:48;true;56128;23598
6;LATE_DELIVERY;INCOMPLETE;63641;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;2020-01-11T23:07:51;2020-01-12T11:56:10;true;92969;62435
7;NON_CONFORMING_PRODUCT_SERVICE;INCOMPLETE;53934;back-end;granular Direct contextually-based;synergies copying;ability Hat Iraq;2020-01-12T04:10:11;2020-01-12T10:28:29;true;11987;26941
8;NON_CONFORMING_PRODUCT_SERVICE;PENDING;97178;Functionality;Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;2020-01-12T15:00:44;2020-01-12T09:07:05;false;90826;63435
9;LATE_DELIVERY;STUCK;67213;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;2020-01-12T12:11:18;2020-01-12T08:06:24;true;18652;69581
10;NON_CONFORMING_PRODUCT_SERVICE;COMPLETE;64517;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;2020-01-11T16:14:01;2020-01-12T02:28:51;true;52965;26082
