id;action;curent_date;rejection_date;rejection_reason_details;labour_rate;nonconformance_details_id;status;quantity
1;CONCESSION;2020-01-06;2020-01-06;Dam;9997;5808;NEED_HELP;65089
2;OTHER;2020-01-06;2020-01-06;Officer;61748;30424;COMPLETE;52477
3;REWORK;2020-01-06;2020-01-06;Savings Account syndicate Planner;46676;4645;INCOMPLETE;56329
4;REWORK;2020-01-06;2020-01-06;Investment Account;83319;3438;COMPLETE;18224
5;REWORK;2020-01-06;2020-01-06;Industrial;84228;77513;STUCK;72727
6;OTHER;2020-01-06;2020-01-05;compress South Georgia and the South Sandwich Islands;58675;35675;INCOMPLETE;16527
7;REJECT;2020-01-06;2020-01-06;24 hour;1407;81546;NEED_HELP;79017
8;OTHER;2020-01-05;2020-01-05;Highway Ergonomic;37081;31098;INCOMPLETE;56124
9;OTHER;2020-01-06;2020-01-06;Robust Networked;4043;52273;PENDING;89576
10;CONCESSION;2020-01-05;2020-01-06;Investment Account;53984;75555;PENDING;59886
