id;deadline;status;progress;priority;nonconformance;jhi_current_date;employee_id
1;2020-01-03;PENDING;45;MEDIUM;INTERNAL;2020-01-03T09:35:11;1
2;2020-01-03;STUCK;30;LOW;SUPPLIER;2020-01-03T09:29:39;2
3;2020-01-04;NEED_HELP;62;HIGH;AUDIT;2020-01-04T04:46:17;3
4;2020-01-03;NEED_HELP;97;LOW;SUPPLIER;2020-01-03T16:27:57;4
5;2020-01-04;NEED_HELP;39;HIGH;INTERNAL;2020-01-03T19:44:35;5
6;2020-01-03;NEED_HELP;78;MEDIUM;INTERNAL;2020-01-03T09:47:46;6
7;2020-01-04;COMPLETE;97;LOW;INTERNAL;2020-01-04T07:04:29;7
8;2020-01-04;PENDING;82;HIGH;CUSTOMER;2020-01-03T12:27:48;8
9;2020-01-03;COMPLETE;67;MEDIUM;CUSTOMER;2020-01-03T14:36:19;9
10;2020-01-03;PENDING;52;LOW;CUSTOMER;2020-01-04T05:31:12;10
