id;action;labour;concesion_details;rejection_fee;non_conformance_type
1;REJECT;77969;Savings Account Dam;9997;LATE_DELIVERY
2;REWORK;2058;Producer;83244;LATE_DELIVERY
3;CONCESSION;706;Home Namibia;39986;NON_CONFORMING_PRODUCT_SERVICE
4;OTHER;78517;grey Cambridgeshire;59241;LATE_DELIVERY
5;OTHER;94220;South Dakota envisioneer Music;23089;LATE_DELIVERY
6;REJECT;66252;hardware Costa Rica Mayotte;18485;NON_CONFORMING_PRODUCT_SERVICE
7;OTHER;72727;archive Georgia Aruba;96117;NON_CONFORMING_PRODUCT_SERVICE
8;OTHER;28093;Faroe Islands Plastic;80219;NON_CONFORMING_PRODUCT_SERVICE
9;SCRAP;1407;magenta monitor 1080p;60595;LATE_DELIVERY
10;SCRAP;62329;archive Fantastic Plastic Chicken;32518;NON_CONFORMING_PRODUCT_SERVICE
