id;task_description;start_date;end_date;progress;status;priority;nonconformance_id;employee_id
1;mobile Fish;2019-12-01;2019-12-01;60;PENDING;MEDIUM;60111;14286
2;deposit Tasty Metal Bacon Implementation;2019-12-02;2019-12-02;100;STUCK;MEDIUM;61185;39986
3;Gorgeous Frozen Pants;2019-12-02;2019-12-02;9;COMPLETE;HIGH;17052;45049
4;Automotive;2019-12-01;2019-12-01;56;PENDING;HIGH;3438;17336
5;incentivize Tuna copy;2019-12-02;2019-12-01;21;NEED_HELP;HIGH;92187;32654
6;Georgia;2019-12-01;2019-12-02;97;STUCK;MEDIUM;35675;96525
7;Home Loan Account;2019-12-02;2019-12-02;29;COMPLETE;LOW;81546;19884
8;monitor 1080p Checking Account;2019-12-01;2019-12-02;65;NEED_HELP;MEDIUM;31098;66884
9;payment;2019-12-01;2019-12-01;27;NEED_HELP;LOW;52273;71066
10;Small partnerships;2019-12-02;2019-12-02;90;STUCK;LOW;22879;94285
