id;date;description;cost;employee_id;customer_non_conformance_id
1;2020-01-02T02:40:50;Directives application Home Loan Account;15601;44583;15599
2;2020-01-02T09:16:12;Trace;33370;60111;14286
3;2020-01-01T18:40:33;Movies Producer;83244;93855;21233
4;2020-01-02T11:39:03;Officer;61748;30424;61165
5;2020-01-01T23:04:32;web-readiness;29122;52477;61185
6;2020-01-02T02:04:22;Gorgeous Frozen Pants;23277;45606;9060
7;2020-01-01T16:49:32;grey Cambridgeshire;59241;46676;4645
8;2020-01-01T15:01:52;Yuan Renminbi Centers;1326;94888;94220
9;2020-01-01T12:29:40;cross-platform access;9767;23089;68423
10;2020-01-02T05:53:06;Bahamian Dollar Investment Account;83319;3438;17336
