id;quantity;sequence_number;part_number;child_part_number;unique_identifier
1;37454;79654;Fish multi-byte Savings Account;Computer Practical Fresh Pants;Metal deposit
2;5641;96990;parsing red Chips;Money Market Account;Albania web-readiness
3;29122;52477;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner
4;46676;4645;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;Nakfa
5;44015;68326;Investment Account;Games Regional Digitized;copy convergence
6;20794;54671;Chair Facilitator;Views e-enable Communications;National Awesome sky blue
7;4522;96117;navigating;interactive generating compelling;Home Loan Account
8;27599;14092;back-end;Industrial;index orange
9;552;1407;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic
10;37081;31098;moratorium pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress
