id;part_number;part_description;price;quantity;nonconformance_type;nonconformance_action;internal_nonconformance_id;customer_non_conformace_id
1;mobile Fish;Home Loan Account Table Computer;5808;45924;INTERNAL;OTHER;18340;61748
2;Home Loan Account;web-readiness;29122;52477;INTERNAL;REWORK;51423;98323
3;Canyon HDD;Table Small Frozen Sausages Planner;80839;38541;INTERNAL;OTHER;3438;17336
4;incentivize Tuna copy;Costa Rica Mayotte;18485;3131;CUSTOMER;REJECT;19598;52083
5;Tactics;scale interactive generating;35675;96525;SUPPLIER;SCRAP;7455;1563
6;deliverables reinvent 24 hour;overriding;70685;71134;AUDIT;OTHER;62329;44945
7;Ergonomic;moratorium moratorium;72960;59129;SUPPLIER;OTHER;76078;72172
8;Robust Networked;Poland;42754;11089;INTERNAL;REJECT;31435;56327
9;European Unit of Account 9(E.U.A.-9) Concrete;relationships override;22879;94285;AUDIT;CONCESSION;80812;29563
10;Refined Squares;maroon;89255;88328;SUPPLIER;REWORK;22793;64769
