id;comment;jhi_read;format;referenced_employee;sent_date;employee_id
1;mobile Fish;true;NEW_EMPLOYEE;Trace;2019-12-25T01:08:11;60111
2;alarm;false;OTHERS;red Chips Soap;2019-12-25T01:50:37;61165
3;Grocery Home;true;ACCEPT_INVITE;Licensed Savings Account;2019-12-24T23:57:59;51423
4;Mississippi Refined Rubber Chicken Table;false;NON_COMFORMANCE_COMPLETED;cross-platform access;2019-12-25T06:48:04;23089
5;Monitored Bahamian Dollar Investment Account;true;REJECT_INVITE;Tuna;2019-12-24T15:01:01;31171
6;Costa Rica Mayotte;false;OTHERS;Markets Chief;2019-12-24T18:47:45;72727
7;archive Georgia Aruba;true;COMPANY_DELETED;South Georgia and the South Sandwich Islands;2019-12-24T19:03:48;35675
8;mission-critical Faroe Islands Plastic;true;NON_COMFORMANCE_COMPLETED;index orange;2019-12-25T09:00:46;1407
9;magenta monitor 1080p;true;LEFT_COMPANY;Internal;2019-12-24T12:44:41;62329
10;archive Fantastic Plastic Chicken;false;NEW_NON_COMFORMANCE;Junction Frozen;2019-12-24T16:01:40;84891
