id;audit_question;compliant;ofi;minor_nc;major_nc;audit_answer;opportunities_for_improvement;non_conformance_id
1;mobile Fish;true;true;true;false;Computer Practical Fresh Pants;Metal deposit;5641
2;transmitter Implementation Electronics;true;false;true;false;Albania web-readiness;Namibia;39986
3;Gorgeous Frozen Pants;false;false;false;true;grey Cambridgeshire;Canyon HDD;68030
4;Centers;false;true;true;true;cross-platform access;Public-key;24102
5;Bahamian Dollar Investment Account;true;false;false;true;Digitized invoice;convergence;20794
6;Georgia Industrial;true;true;false;true;Chief Credit Card Account;archive Georgia Aruba;96117
7;navigating;true;false;true;true;compelling mission-critical;bifurcated scalable;16526
8;Industrial;false;true;false;false;Books;magenta monitor 1080p;60595
9;Identity;true;false;true;true;Investment Account archive Fantastic Plastic Chicken;payment;59129
10;tangible Mississippi;false;false;true;true;synthesize Idaho compress;Sleek Metal Table Small;43933
