id;quantity;ordered_date;due_date;commited;status;comment;product_id
1;90008;2019-10-25;2019-10-26;false;DESPATCHED;connecting Executive mission-critical;1
2;96113;2019-10-26;2019-10-26;false;DESPATCHED;Shoes Malawi Chad;2
3;76190;2019-10-26;2019-10-25;true;CANCELED;mint green Sleek Plastic Chicken contextually-based;3
4;96641;2019-10-25;2019-10-25;true;PENDING;platforms Auto Loan Account Bedfordshire;4
5;40177;2019-10-25;2019-10-25;true;DESPATCHED;lime enable;5
6;3945;2019-10-25;2019-10-26;true;DESPATCHED;Investor array;6
7;53338;2019-10-26;2019-10-25;false;PENDING;Steel wireless;7
8;27576;2019-10-26;2019-10-25;false;DESPATCHED;Buckinghamshire;8
9;86354;2019-10-26;2019-10-25;false;DESPATCHED;index maximize;9
10;51127;2019-10-25;2019-10-26;false;PENDING;content generating;10
