id;raise_nonconformace;view_nonconformance;edit_nonconformance;view_nonconformance_tasks;edit_nonconformance_tasks;delete_nonconformance_tasks;delete_nonconformance;raise_change_request;view_cost_analyses;edit_cost_analyses;view_request_submited;edit_request_submited;approve_request_submited;view_pending_submited;edit_pending_submited;approve_pending_submited;view_rejected;edit_rejected;edit_purchase_request;delete_purchase_request;edit_product_stock;add_product;delete_product;edit_product;add_customer;delete_customer;edit_customer;add_supplier;delete_supplier;edit_supplier;raise_task;add_progress_track;delete_progress_track;edit_progress_track;view_progress_track;add_non_conformance_reason;add_root_causes
1;false;true;true;false;true;true;true;true;false;false;false;false;false;false;true;false;true;false;true;true;false;false;true;true;true;true;false;false;false;true;false;true;false;true;true;false;false
2;false;false;true;true;false;false;false;false;true;false;false;false;false;true;true;false;false;true;true;true;false;false;true;true;true;false;false;false;false;true;true;true;true;true;false;false;false
3;false;false;true;false;false;true;false;true;false;true;false;false;true;false;false;false;true;true;false;false;true;false;true;true;false;false;true;true;true;false;true;false;true;true;true;true;true
4;false;false;true;false;true;false;true;false;true;false;true;false;true;true;true;false;true;false;true;true;false;false;false;true;false;false;false;true;false;true;false;false;false;false;false;true;false
5;true;true;true;true;true;true;false;true;false;true;false;true;true;true;true;false;false;false;false;false;false;true;false;true;true;true;true;false;true;true;false;false;false;true;true;true;true
6;true;true;false;true;false;false;false;true;true;false;false;false;false;false;false;false;true;true;false;false;true;true;true;true;false;false;true;false;true;true;false;false;true;false;true;false;true
7;false;true;true;true;true;false;true;false;true;false;true;false;false;false;true;true;true;false;true;false;true;false;false;true;false;false;false;true;false;false;true;false;true;false;false;false;true
8;true;false;false;false;true;false;false;false;false;true;false;false;false;true;true;true;false;false;false;true;false;true;false;false;true;false;true;false;false;false;true;false;false;true;true;true;false
9;false;false;false;false;true;true;false;true;false;true;false;false;true;true;false;true;true;false;true;false;false;false;true;true;false;false;true;true;true;false;true;true;false;true;true;false;false
10;true;false;true;false;true;true;false;true;false;false;true;true;true;false;false;true;false;false;true;true;false;false;true;true;true;false;true;false;true;false;false;true;true;true;true;false;false
