id;resource_name;resource_type;unit_run_time;part_number;layout_time;unique_identifier
1;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account;70807;Movies Producer
2;Implementation Electronics Officer;methodology Albania;43194;intangible;61185;Steel zero administration
3;Multi-channelled Licensed;grey Cambridgeshire;59241;Refined Rubber Chicken Table;6505;Factors
4;South Dakota envisioneer Music;Nakfa;44015;Rubber Buckinghamshire Games;90932;Digitized invoice
5;convergence;Mayotte;18485;Facilitator;77513;Markets Chief
6;capacitor archive;sky blue Tasty Plastic Pizza;38867;interactive generating compelling;28093;Faroe Islands Plastic
7;Car Industrial deliverables;orange Books;81546;monitor;72900;quantify Unbranded Plastic Tuna Frozen
8;generating Highway Ergonomic;moratorium moratorium;72960;withdrawal COM;47221;Frozen bus
9;hard drive Robust Networked;Poland;42754;Grocery;10789;Outdoors
10;Harbor Montana;Corporate Phased relationships;75555;User-centric;7697;neutral Salad
